page,code,time_hr,type,composition
158,03-02-003-102-2,100,Oxide,CoO
158,03-02-003-102-2,100,Spinel,8.25
158,03-02-003-102-3,100,Oxide ,Cr2O3
159,03-02-003-323-4,200,Oxide ,CoO
159,03-02-003-323-4,200,Spinel ,8.3
159,03-02-003-323-4,200,Oxide,"Ni(W, Mo)O4 Type 1"
160,03-02-003-310-1,200,Spinel ,8.35
160,03-02-003-310-2,200,Oxide,CoO
160,03-02-003-310-1,200,,Al2TiO5
161,03-02-003-326-4,200,Spinel ,8.35
161,03-02-003-326-4,200,Oxide ,CoO
161,03-02-003-326-4,200,`,Al2TiO5
163,03-02-002-099-2,100,Oxide ,CoO
163,03-02-002-099-2,100,Spinel ,8.35
163,03-02-002-099-2,100,Oxide ,CoWO4 15-867
164,03-02-002-105-4,100,Unknown,Unknown
165,03-02-002-105-5,100,Oxide ,CoO
165,03-02-002-105-5,100,Spinel,8.2
165,03-02-002-105-5,100,Spinel ,8.3
165,03-02-002-105-5,100,,Al2O3
168,03-03-002-120-2,100,Oxide ,CoO
168,03-03-002-120-2,100,Spinel ,8.3
168,03-03-002-120-2,100,Oxide ,15-867
169,03-02-002-151-1,100,Oxide ,CoO
169,03-02-002-151-1,100,Spinel ,8.3
171,03-02-002-140-4,100,Spinel ,8.3
171,03-02-002-140-4,100,Spinel ,8.4
173,03-02-002-104-1,100,Oxide ,CoO
173,03-02-002-104-1,100,Spinel ,8.3
176,03-02-001-095-4,100,Oxide ,CoO
176,03-02-001-095-4,100,Spinel ,8.25
176,03-02-001-095-4,100,Spinel ,8.25
176,03-02-001-095-4,100,Oxide ,Cr2O3
177,03-02-001-105-3,100,Oxide ,CoO
182,03-02-001-096-4,100,Oxide ,CoO
182,03-02-001-096-4,100,Spinel,8.35
182,03-02-001-096-4,100,Oxide ,Cr2O3
184,03-02-001-131-5,100,Spinel ,8.45
184,03-02-001-131-5,100,Oxide ,CoO
188,03-02-001-098-5,100,Spinel ,8.25
188,03-02-001-098-5,100,Oxide ,Cr2O3
